FID IID descID ance pop sex age group
HG01698 HG01698 HG01698 EUR IBS 1 NA 0
HG01701 HG01701 HG01701 EUR IBS 1 NA 0
HG01703 HG01703 HG01703 EUR IBS 1 NA 0
HG01706 HG01706 HG01706 EUR IBS 2 NA 0
HG01711 HG01711 HG01711 EUR IBS 2 NA 0
HG01748 HG01748 HG01748 EUR IBS 1 NA 0
HG01755 HG01755 HG01755 EUR IBS 2 NA 0
HG01763 HG01763 HG01763 EUR IBS 2 NA 0
HG01772 HG01772 HG01772 EUR IBS 2 NA 0
HG01774 HG01774 HG01774 EUR IBS 1 NA 0
HG01778 HG01778 HG01778 EUR IBS 1 NA 0
HG01780 HG01780 HG01780 EUR IBS 1 NA 0
HG01782 HG01782 HG01782 EUR IBS 2 NA 0
HG02222 HG02222 HG02222 EUR IBS 2 NA 0
HG02225 HG02225 HG02225 EUR IBS 2 NA 0
HG02229 HG02229 HG02229 EUR IBS 2 NA 0
HG02234 HG02234 HG02234 EUR IBS 1 NA 0
HG02237 HG02237 HG02237 EUR IBS 2 NA 0
HG02240 HG02240 HG02240 EUR IBS 2 NA 0
NA06995 NA06995 NA06995 EUR CEU 1 NA 0
NA07031 NA07031 NA07031 EUR CEU 2 NA 0
NA10830 NA10830 NA10830 EUR CEU 1 NA 0
NA10831 NA10831 NA10831 EUR CEU 2 NA 0
NA10838 NA10838 NA10838 EUR CEU 1 NA 0
NA10839 NA10839 NA10839 EUR CEU 2 NA 0
NA10840 NA10840 NA10840 EUR CEU 2 NA 0
NA10842 NA10842 NA10842 EUR CEU 1 NA 0
NA10843 NA10843 NA10843 EUR CEU 2 NA 0
NA10845 NA10845 NA10845 EUR CEU 1 NA 0
NA10856 NA10856 NA10856 EUR CEU 1 NA 0
NA10860 NA10860 NA10860 EUR CEU 1 NA 0
NA11839 NA11839 NA11839 EUR CEU 1 NA 0
NA11891 NA11891 NA11891 EUR CEU 1 NA 0
NA12248 NA12248 NA12248 EUR CEU 1 NA 0
NA12274 NA12274 NA12274 EUR CEU 1 NA 0
NA12375 NA12375 NA12375 EUR CEU 1 NA 0
NA12376 NA12376 NA12376 EUR CEU 2 NA 0
NA12386 NA12386 NA12386 EUR CEU 2 NA 0
NA12707 NA12707 NA12707 EUR CEU 1 NA 0
NA12739 NA12739 NA12739 EUR CEU 1 NA 0
NA12740 NA12740 NA12740 EUR CEU 2 NA 0
NA12752 NA12752 NA12752 EUR CEU 1 NA 0
NA12766 NA12766 NA12766 EUR CEU 1 NA 0
NA12818 NA12818 NA12818 EUR CEU 2 NA 0
NA12832 NA12832 NA12832 EUR CEU 2 NA 0
NA12865 NA12865 NA12865 EUR CEU 2 NA 0
NA12875 NA12875 NA12875 EUR CEU 2 NA 0
NA12891 NA12891 NA12891 EUR CEU 1 NA 0
NA12892 NA12892 NA12892 EUR CEU 2 NA 0
NA20873 NA20873 NA20873 SAS GIH 1 NA 0
NA20879 NA20879 NA20879 SAS GIH 2 NA 0
NA20909 NA20909 NA20909 SAS GIH 1 NA 0
